Description	
Number of Runs	400
Preset Time	5
Pause Time	0
Alarm Level	0
High Voltage	750
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
384	750	4	5	02/27/24 11:55:53 AM	
385	750	3	5	02/27/24 11:55:58 AM	
386	750	4	5	02/27/24 11:56:03 AM	
387	750	5	5	02/27/24 11:56:08 AM	
388	750	9	5	02/27/24 11:56:13 AM	
389	750	3	5	02/27/24 11:56:19 AM	
390	750	4	5	02/27/24 11:56:24 AM	
391	750	1	5	02/27/24 11:56:29 AM	
392	750	4	5	02/27/24 11:56:34 AM	
393	750	5	5	02/27/24 11:56:39 AM	
394	750	5	5	02/27/24 11:56:44 AM	
395	750	3	5	02/27/24 11:56:49 AM	
396	750	5	5	02/27/24 11:56:55 AM	
397	750	3	5	02/27/24 11:57:00 AM	
398	750	3	5	02/27/24 11:57:05 AM	
399	750	2	5	02/27/24 11:57:10 AM	
400	750	2	5	02/27/24 11:57:15 AM	
